rank_by_installs,title,developer,category,installs,ratings,reviews,rating_ratio_pct,review_ratio_pct,flags,ad_supported,offers_iap,pp_is_http,privacy_policy,appId,first_keyword,matched_keywords,url
63,Tor OBD2 Diagnostics,Tor OBD2 Diagnostics,Auto & Vehicles,1773936,31629,129,1.783,0.4079,rev/rat<2% (text-less stars),True,True,False,https://sites.google.com/view/bgapps/inicio,com.aplications.main.torobid,vehicle diagnostics,vehicle diagnostics,https://play.google.com/store/apps/details?id=com.aplications.main.torobid&hl=en&gl=us
64,Truck Depot,Solid Games,Casual,1690565,25885,200,1.5311,0.7726,rev/rat<2% (text-less stars),True,True,False,https://solidgameinc.com/privacy.html,com.truck.depot,truck stop,truck stop,https://play.google.com/store/apps/details?id=com.truck.depot&hl=en&gl=us
65,Petrol Spy Australia,Pinecone Software,Maps & Navigation,1600766,63522,6,3.9682,0.0094,"rev/rat<2% (text-less stars) | huge ratings, no reviews",True,True,False,https://petrolspy.com.au/PetrolSpyPrivacyPolicy.html,com.pineconesoft.petrolspy,diesel prices,diesel prices,https://play.google.com/store/apps/details?id=com.pineconesoft.petrolspy&hl=en&gl=us
66,Protrack GPS,"ITRYBRAND TECHNOLOGY (HONGKONG) CO.,LIMITED",Tools,1539403,5739,22,0.3728,0.3833,rev/rat<2% (text-less stars),False,False,False,https://www.protrack365.com/privacy.htm,com.itrybrand.tracker,truck gps,truck gps,https://play.google.com/store/apps/details?id=com.itrybrand.tracker&hl=en&gl=us
67,5G Lte Only: Speed test,Downtech,Tools,1374040,7479,45,0.5443,0.6017,rev/rat<2% (text-less stars),False,True,False,https://sites.google.com/view/fivegg/home,force.lteonlymode.fiveg.speedtest.datausage,lte signal,lte signal;5g signal,https://play.google.com/store/apps/details?id=force.lteonlymode.fiveg.speedtest.datausage&hl=en&gl=us
68,All WiFi Router Admin Setup,LucyTools,Tools,1343683,5880,36,0.4376,0.6122,rev/rat<2% (text-less stars),True,True,False,https://lucyyuu.github.io/privacy-policy.html,com.routeradmin.routerpasswords.wifirouter,router config,router config,https://play.google.com/store/apps/details?id=com.routeradmin.routerpasswords.wifirouter&hl=en&gl=us
69,Where is my OBD2 port?,Outils OBD Facile,Auto & Vehicles,1307746,27768,51,2.1233,0.1837,"rev/rat<2% (text-less stars) | huge ratings, no reviews",False,False,False,https://www.outilsobdfacile.com/cgu/cgu-app-connector.php,com.outilsobdfacile.obd.connecteur.dlc,obd2,obd2,https://play.google.com/store/apps/details?id=com.outilsobdfacile.obd.connecteur.dlc&hl=en&gl=us
70,All Router Admin - WiFi DNS,KomalArt Info,Tools,1281997,2948,9,0.23,0.3053,rev/rat<2% (text-less stars),True,False,False,https://komalartinfo.blogspot.com/2022/06/policy.html,com.komalartinfo.screeenmirrorinngg,router config,router config,https://play.google.com/store/apps/details?id=com.komalartinfo.screeenmirrorinngg&hl=en&gl=us
71,Wifi Analyzer Show Password,Secure Apps Hub,Tools,1218065,1482,18,0.1217,1.2146,rev/rat<2% (text-less stars),True,True,False,https://sites.google.com/view/wifianalyzerpasswor/home,com.wifipassword.show.wifishowpassword.wifianalyzer,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.wifipassword.show.wifishowpassword.wifianalyzer&hl=en&gl=us
72,Gaspy - Fuel Prices,Hwem,Maps & Navigation,1124523,2332,14,0.2074,0.6003,rev/rat<2% (text-less stars),True,True,True,http://gaspy.nz/Public/privacy,nz.hwem.gaspy,gas prices,gas prices;gasbuddy,https://play.google.com/store/apps/details?id=nz.hwem.gaspy&hl=en&gl=us
73,Fuel Manager (Consumption),KB2 SOFT,Auto & Vehicles,1100354,8290,88,0.7534,1.0615,rev/rat<2% (text-less stars),False,True,True,http://kb2soft.ru/en/fuel-manager-privacy/,kb2.soft.fuelmanager,truck fuel,truck fuel;fuel log,https://play.google.com/store/apps/details?id=kb2.soft.fuelmanager&hl=en&gl=us
74,Wifi passwords show: Analyzer,Apps Resort - Daily Tool Apps,Tools,1067114,4403,4,0.4126,0.0908,rev/rat<2% (text-less stars),True,True,False,https://sites.google.com/view/wifianalyzer2023/home,com.appresort.wifi.analyzer.wifi.scanner.speed.test,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.appresort.wifi.analyzer.wifi.scanner.speed.test&hl=en&gl=us
75,TELUS Connect (My Wi-Fi),TELUS,Productivity,995454,7452,31,0.7486,0.416,rev/rat<2% (text-less stars),False,False,False,https://www.telus.com/support/privacy-policy,com.telus.mywifi,wifi,wifi;wifi scanner,https://play.google.com/store/apps/details?id=com.telus.mywifi&hl=en&gl=us
76,OBD2 Car Scanner - ELM Torque,Cards,Auto & Vehicles,974307,8307,81,0.8526,0.9751,rev/rat<2% (text-less stars),True,True,False,https://cardsapp.com/carscannerflutter/privacy/,com.digitalcarkeyllc.car.scanner.obd.elm.torque.fixd.carly,obd2,obd2,https://play.google.com/store/apps/details?id=com.digitalcarkeyllc.car.scanner.obd.elm.torque.fixd.carly&hl=en&gl=us
